mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,8.62,8.24,7.81,8.19,7.5,7.98,8.61,7.72,8.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.04
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,7.06,6.78,7.41,7.25,6.46,6.96,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.08
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,7.02,5.17,5.91,5.51,4.91,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.14
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,7.74,7.86,8.3,7.75,9.11,8.47,8.38,8.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.21
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,4.74,0.81,5.13,4.94,4.77,0.45,0.08,6.13,6.02,0,5.4,5.08,3.95,6.54,8.5,6.08,-1,-1,-1,-1,-1,-1,-1,-1,6
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,8.04,7.23,8.14,7.72,7.96,8.42,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.11
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,6.12,5.83,7.13,7.55,5.44,6.77,4.31,5.25,4.69,1.18,8.27,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.42
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,6.95,7.61,8,7.7,8.03,7.2,7.18,7.12,7.67,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.52
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,5.64,6.02,6.61,7.27,7.62,7.17,8.45,8.34,7.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.29
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,6.95,6,8.08,7.28,8.31,7.4,6.89,6.35,7.19,5.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.39
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,8.14,7.46,7.47,7.09,6.95,7.98,7.22,7.44,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.56
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,7.72,7.26,6.54,7.03,7.5,6.7,6.42,8.6,8,9.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.25
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,6.54,3.56,2.77,3.86,4.07,3.48,2.39,5.43,4.61,2.47,6.49,5,6.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.72
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,8.73,7.89,8.53,7.86,8.83,8.06,9.1,8.06,8.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.32
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,6.42,6.32,6.68,6.69,7.1,7.25,7.76,8.15,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.18
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,6.91,4.73,3.24,6.06,3.25,2.9,0.5,1.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.27
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,4.52,1.43,3.36,2.53,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.88
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,7.81,7.28,7.04,5.61,4.36,2.84,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.92
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,7.92,6.52,6.78,7.29,6.41,6.63,6.87,6.23,3.45,8.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.68
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,6.13,5.6,8,5.05,6.77,5,7.44,7.05,5.77,7.61,3.8,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.66
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,5.27,3.05,5.74,6.41,6.5,4.54,1.03,4.09,5.93,6.29,8.03,4.78,4.03,2.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.63
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,5.71,1.35,8,4.37,5.38,6.42,5.08,5.32,6.8,5.89,5.79,6.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.39
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,3.94,0.05,0.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.99
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,7.64,6.87,8.11,7.82,7.59,7.63,6.99,8.54,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.71
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,5.62,1.19,2.47,3.8,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.72
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,5.48,6.14,7.29,5.41,6.34,6.31,6.52,7.29,8.15,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.87
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,7.01,6.8,7.91,7.18,9.15,7.25,7.96,8.23,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.68
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,6.11,5.12,7.04,6.63,2.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.84
E3B61324XPvAibaEXe+E43ovk5Cnp3VN23jDQPXu,1.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.08
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,6.08,5.56,6.65,6.39,8.1,6.71,6.52,8,6.76,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.67
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,6.38,4.87,5.92,6.32,6.61,6.89,5.07,5.62,5.92,3.67,2.23,0,3.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.79
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,8.4,7.49,7.73,8.06,6.07,7.71,4.56,8.1,7.78,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.76
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,7.71,7.91,6.2,6.61,7.56,8.13,7.31,8.4,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,7.32,6.11,6.61,6.85,6.91,6.59,6.44,6.32,6.34,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.76
6F9BED37XPvAibaEXe9a9WHB728zIB4h7e7yTZjQ,3.16,3.37,1.16,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.8
FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,1.17,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.71
850C19C2XPvAibaEXe9gcLLHJLBBnZC5o6sMc8cs,4.88,0.76,4.8,0.43,0.55,0.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.47
D6D49AA7XPvAibaEXe9gcLLHJLBBnRYB6m6WhcfJ,6.37,5.39,6.26,7.06,6.06,6.81,6.18,7.94,6.82,2,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.95
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,7.32,5.37,7.51,7.62,4.9,5.93,6.45,5.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.68
39B20F4DXPvAibaEXe9gcLLHJLBBnc8cdqv19Ylu,6.75,6.99,6.94,7.2,7.42,7.35,7.48,6.99,0,0,7.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.7
2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,7.37,5.81,7.13,6.23,7.43,7.29,8.1,7.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.18
61180195XPvAibaEXe9gcLLHJLBBnR5wpoU3apq+,2.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.59
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,7.88,7.34,8.61,7.5,8.24,7.57,7.44,7.32,4.4,7.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.55
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,6.74,5.56,7.8,7.25,7.54,6.85,7.65,6.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.1
8E862257XPvAibaEXe86sbeN0/YCTScV+FsBuwvo,4.61,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.09
3F21B786XPvAibaEXe86sbeN0/YCTQd15EVD6n3Y,7.85,6.56,8.46,7.37,9.31,8.44,9,8.6,8.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.08
94D74F41XPvAibaEXe86sbeN0/YCTcr3p20VvmtV,6.64,6.8,6.76,7.1,7.4,7.14,7.2,7.79,5.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.07
7DBFEDECXPvAibaEXe86sbeN0/YCTZqShrWtk4hd,5.05,4.39,5.71,3.99,4.24,5.57,3.21,5.32,2.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74
71279AEDXPvAibaEXe86sbeN0/YCTci+47cxm1GJ,8.35,7.51,8.44,7.49,8.28,8.9,8.18,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.15
86CD5F66XPvAibaEXe9WgQQLl7rkkx9vDHxmdt93,7.35,6.35,8.5,7.56,7.91,7.93,8.23,7.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.71
D7470D73XPvAibaEXe9WgQQLl7rkk8KBZBiMtu15,5.56,0.34,0.15,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.6
178F60F5XPvAibaEXe9WgQQLl7rkk9xNzvD5m8xA,7.17,6.77,7.02,7.81,6.27,7.24,7.24,7.98,6,0,8.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.8
2AB355A3XPvAibaEXe9WgQQLl7rkk9EgM3vUMrzn,6.8,2.27,6.91,6.4,7.66,6.14,6.84,7.15,6.69,6.28,6.6,7.73,7.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.27
29418E5AXPvAibaEXe9WgQQLl7rkk4fctYOOBzzg,7.09,6.31,7.87,8.04,7.77,7.1,7.73,7.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.43
99DFF379XPvAibaEXe9WgQQLl7rkk3xiov9KwR/h,7.36,6.56,8.76,8.24,7.21,7.95,7.92,8.71,8.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.9
A15DA8F6XPvAibaEXe9WgQQLl7rkk+hRH2dNOhqK,7.23,6.21,6.9,6.81,7.56,7.02,7.46,8.83,8.8,7.46,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6
2A0595D9XPvAibaEXe/YiexZYoq8n+O9NW7PU1Ee,5.81,6.06,6.71,6.79,8.6,6.11,6.83,7.02,6.36,7,7.52,7.95,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.04
