mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
7E64F9F5XPvAibaEXe8riuHWhiKRR0IyjtDlKnU6,9.24,8.26,7.23,8.78,8.48,9.49,8.88,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.53
4A23BFF9XPvAibaEXe8riuHWhiKRR/VfY1PuvRya,7.91,7.75,7.96,8.07,8.18,9.33,8.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.14
124C9BCAXPvAibaEXe8riuHWhiKRR/A/QE2oYQQD,4.08,4.34,5.23,6.31,6.98,7.35,7.43,8.48,7.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.27
DB20DF63XPvAibaEXe/IJyK0OmpUJ5+QM5gzSTOp,6.46,4.37,5.24,6.08,5.73,7.62,6.97,5.36,2.1,3.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.5
C50E8BCFXPvAibaEXe/IJyK0OmpUJ741hXVRKNfo,8.25,7.33,7.39,8.18,8.39,8.47,6.1,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.91
1129A056XPvAibaEXe/IJyK0OmpUJ9ENgOx7/Lpg,4.07,5.35,3.61,5.97,7.1,7.24,5.08,5.7,0.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.68
48B2DE54XPvAibaEXe/IJyK0OmpUJylukiz9M+Up,6.67,7.2,7.17,7.73,7.58,6.6,4.43,4.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.89
4116D300XPvAibaEXe/IJyK0OmpUJ+bkK+R+mD2O,7.04,7.73,8.19,8.22,8.12,8.55,8.65,8.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.09
C26D29CCXPvAibaEXe/IJyK0OmpUJx6H+3SYG0IA,5.85,6.19,9.4,8.05,7.86,6.05,5.1,4.75,6.69,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.17
25E4D9FAXPvAibaEXe/IJyK0OmpUJyuEp0m3rP8S,7.06,6.72,5.82,7.59,7.62,6.42,6.13,7.45,7.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.95
F177D17AXPvAibaEXe+wCRIlhV+1XwE7AWBbSDyJ,7.63,8.23,8.75,8.26,7.49,8.42,8.75,1.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.94
EA0847F0XPvAibaEXe+wCRIlhV+1X8xOSYw7pQZ0,7.81,8.33,6.99,7.39,7.05,3.02,4.66,6.75,5.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.95
9EF6334AXPvAibaEXe+wCRIlhV+1X2KzzaFsvdzs,8.03,8.52,8.51,8.52,7.82,7.98,8.51,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.29
6D2E1B0DXPvAibaEXe+wCRIlhV+1X7/wAujQiakF,4.8,3.7,4.97,7.15,6.19,3.43,8.49,6.31,4.8,0.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.64
A8C33151XPvAibaEXe+wCRIlhV+1Xw18appJO0DD,8.26,7.71,7.98,8.32,7.87,8.89,8.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.24
17FFC7CCXPvAibaEXe+wCRIlhV+1XwB91jd9TqF4,5.71,0.76,0.34,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.44
A6B0B2D5XPvAibaEXe+wCRIlhV+1XyJG2Uep7SIj,7.99,8.47,8.36,8.37,8.29,9.11,8.65,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.47
FB74090DXPvAibaEXe+wCRIlhV+1Xzjtx3SqkOMm,3.63,3.17,0.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.43
DBE64A33XPvAibaEXe9PMC4shTguo5BmAz9PQSSX,9.12,8.77,8.92,9.32,9.12,9.24,9.44,9.41,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.15
564868A0XPvAibaEXe9PMC4shTguozaS0PupnQ2K,6.24,6.2,6.44,6.75,5.11,6.63,5.4,6.29,4.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.4
57D2A952XPvAibaEXe9PMC4shTguo0slBPj3eftM,4.26,4.48,5.27,4.05,5.89,2.56,3.56,3.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.6
3CDC8985XPvAibaEXe9PMC4shTguoxM26tiaMeEn,2.87,0.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.82
A90DE971XPvAibaEXe9PMC4shTguo6AkSCXXyOh2,7.14,7.53,7.49,8.41,8.52,8.12,8.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.99
9F58D5A9XPvAibaEXe9PMC4shTguoycVT3+tYeKp,6.5,7.79,7.19,7.08,5.5,6.7,5.45,6.4,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.88
92690409XPvAibaEXe9PMC4shTguo8Q3Tm9EnYm/,4.59,5.78,5.77,6.14,6.05,3.41,3.03,3.26,3.99,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.45
A05A6091XPvAibaEXe9PMC4shTguo2e73eiEnjzm,4.08,4.78,5.77,6.3,6.51,6.08,5.07,6.84,7.4,7.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.4
04782F2FXPvAibaEXe9PMC4shTguo6ck0HN7QeAg,6.28,5.7,4.08,0.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2
CAA6510AXPvAibaEXe9PMC4shTguo41STgZq+iNv,6.77,5.51,7.13,5.37,5.02,2.56,7.29,5.5,6.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.12
F62290E4XPvAibaEXe+oo0hccQuSuDpDxskDOl9I,5.69,6.61,5.5,4.31,2.24,1.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.44
4EE5ACB6XPvAibaEXe+oo0hccQuSuK/zAJI/xLdB,6.29,7.14,5.25,5.25,4.31,5.56,6.66,7.7,7.26,7.18,6.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.29
FBF2CF37XPvAibaEXe+oo0hccQuSuIkcEDMHMGPN,6.8,6.33,7.36,7.56,7.63,8.28,8.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.67
105D7067XPvAibaEXe+oo0hccQuSuIIOyis7Wl49,5.02,3.13,7.4,7.4,7.16,7.69,7.1,7.78,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.29
153D9C62XPvAibaEXe+oo0hccQuSuNUsz250V3Qk,7.68,7.45,5.9,6.05,7.76,8.03,6.8,6.15,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.24
DBD6E06DXPvAibaEXe+oo0hccQuSuDC84q49alZl,7.46,7.8,7.31,7.11,8.23,8.4,8.26,8.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.9
72219ED8XPvAibaEXe+oo0hccQuSuJL8fcjYI2OW,7.98,7.89,7.24,8.36,7.76,8.49,8.77,9.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.12
83FAA9CAXPvAibaEXe+oo0hccQuSuOtStIwkWhsf,5.61,6.49,5.19,7.43,7.33,7.62,7.68,7.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.98
F04DAB48XPvAibaEXe+oo0hccQuSuF2V98IwNKVT,6.55,7,5.06,7.23,0,5.89,7.6,7.86,7.27,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.09
3B903658XPvAibaEXe+oo0hccQuSuCJ/09Amk75g,5.83,7.28,7.05,7.67,8.15,7.98,7.47,8.6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.56
D8631DA8XPvAibaEXe8JNpgMW2c4ULzeQgr5A+5Q,8.39,8.17,8.04,9.04,9.08,9.33,9.29,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.76
8EB3EFFAXPvAibaEXe8JNpgMW2c4UCJnjzLhTuma,7.15,6.95,7.2,7.32,7.88,8.71,8.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.62
168ADE1FXPvAibaEXe8JNpgMW2c4UNCJEPTBH44u,6.01,5.65,5.68,7.18,0,7.13,7.88,7.13,6.73,8.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.09
BB1C864FXPvAibaEXe8JNpgMW2c4UOj/rLwk4dqI,7.38,7.38,6.69,8.14,7.59,8.53,7.99,6.19,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.51
AE63A58FXPvAibaEXe8JNpgMW2c4UJmh3Zt4gIqe,7.79,8.18,8.02,9.13,8.84,8.66,8.4,8.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.46
7CE0E656XPvAibaEXe8JNpgMW2c4UDY5KYrMOBL5,5.18,4.08,5.27,3.52,3.18,5.29,5.46,3.78,0.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.78
A1629CC6XPvAibaEXe8JNpgMW2c4UGzL8waqrJ9w,6.36,6.58,7.13,8.34,7.89,8.12,8.11,7.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.49
553B0537XPvAibaEXe8JNpgMW2c4UDCJQq64xisJ,6.58,5.68,5.61,6.59,6.94,7.72,7.85,4.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.69
FF355A67XPvAibaEXe8JNpgMW2c4UIW22fQSPLQ1,8.59,8.71,7.82,8.01,8.38,8.4,8.92,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.43
112E2DACXPvAibaEXe8JNpgMW2c4UI/fpSPdpt3l,6.55,3.07,7.49,7.55,4.85,7.88,7.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.81
95C1C55FXPvAibaEXe9wgACCA7SCWfo/Jy3yRH49,7.99,7.98,7.99,7.8,7.78,8.46,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.13
304FC822XPvAibaEXe9wgACCA7SCWcmN4JswhdoU,6.01,6.33,4.15,6.51,5.72,5.44,7.79,7.4,7.96,7.36,7.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.91
5F59FE2DXPvAibaEXe9wgACCA7SCWYquHhfT9DZY,6.39,3.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.31
5E967418XPvAibaEXe9wgACCA7SCWcwiUMgG4CqD,7.77,7.9,8.17,7.76,7.81,8.48,7.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.94
FF575360XPvAibaEXe9wgACCA7SCWWiaUs/GWfcV,5.23,5.2,3.7,1.58,3.88,4.09,6.14,6.7,6.86,5.22,3.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.91
5E25EB72XPvAibaEXe9wgACCA7SCWfnlOXolY4Bh,7.68,8.12,6.96,8,5.62,6.02,6.88,3.6,7.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.86
A1C62ED1XPvAibaEXe9wgACCA7SCWeQ/xWMCzmBG,7.43,8.76,8.58,7.79,8.87,8.13,10,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.38
2566CB3BXPvAibaEXe9wgACCA7SCWWoA+zvJXnEV,7.78,6.61,6.85,7.28,6.5,8.42,7.66,7.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.35
27825AC1XPvAibaEXe9wgACCA7SCWZEehS2D11JB,7.26,6.4,6.61,6.36,0,3.66,8.09,5.87,5.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.79
976F16B3XPvAibaEXe9wgACCA7SCWb3Cv0TWx4MA,7.05,6.11,5.97,7.04,7.55,6.78,7.94,7.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.24
BD9DE78DXPvAibaEXe+L7yr6xo33KpaY/g0OPb72,7.71,6.91,7.2,7.39,7.94,7.93,8.62,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.64
4456FB87XPvAibaEXe+L7yr6xo33KtC3mCal6M9L,7.36,5.45,5.21,5.53,5.5,7.76,5.49,7.1,7.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.77
FBD83980XPvAibaEXe+L7yr6xo33KlzCekQnOMI8,6.33,4.3,6.38,6.73,5.49,9.2,8.34,7.53,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.92
7CC504C7XPvAibaEXe+L7yr6xo33KlsHIb7xKLQV,7.51,7.28,6.64,7.79,7.57,7.68,7.79,7.22,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.45
145955E6XPvAibaEXe+L7yr6xo33KgiS+3SCnOTa,6.75,7.62,7.32,6.34,7.73,6.78,7.21,7.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.17
4BA87891XPvAibaEXe+L7yr6xo33Kl5vt5FEUG6U,8.13,7.47,8.09,8.21,8.08,8.25,8.9,9.4,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.28
CAFBF12FXPvAibaEXe+L7yr6xo33KsEYZ+DAUurS,9.04,8.17,8.44,8.75,9.12,9.48,9.43,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.87
FF7DD571XPvAibaEXe+L7yr6xo33KgwBiExcKks/,7.91,8.06,7.66,7.75,7.72,7.73,8.22,8.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.89
E78B27A0XPvAibaEXe+L7yr6xo33KlmhuuffLdX8,6.01,5.83,4.41,7.81,0,7.29,7.45,7.73,6.3,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.8
B72C157CXPvAibaEXe+L7yr6xo33KueePC0pTKOr,7.53,7.95,7.64,7.84,8.36,8.2,8.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.98
21B28C6FXPvAibaEXe8E6yzSPpyFOeSvd0A0yI1u,7.99,8.11,7.71,8.55,8.21,8.79,8.9,9.68,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.32
7BC09E4DXPvAibaEXe8E6yzSPpyFOY5if8q8PnHf,5.69,6.31,6.33,7.65,7.37,7.98,8.32,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.31
5C94FC45XPvAibaEXe8E6yzSPpyFOZMPnl0veW6e,8.49,8.4,7.92,8.18,8.65,8.48,8.32,0,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.37
2695DF34XPvAibaEXe8E6yzSPpyFOXn9+vmP8erh,6.05,5.65,5.76,7,5.13,8.69,7.69,4.3,7.6,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.19
66A5386DXPvAibaEXe8E6yzSPpyFOdE1/ewFpu4R,5.66,6.91,5.46,6.89,7.29,7.48,8.3,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.13
06EEDB7DXPvAibaEXe8E6yzSPpyFOfvrOcCQyyax,7.01,6.49,7.85,7.02,5.69,6.89,7.79,8.37,7.43,7.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.18
6D7A4DA8XPvAibaEXe8E6yzSPpyFOZrdxnItPn/H,4.91,5.22,5.5,6.67,7.42,6.15,7.62,6.36,7.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.98
899E8FC6XPvAibaEXe8E6yzSPpyFOXskFqqjy6Sj,5.14,6.67,5.92,7.4,7.19,7.42,8.51,7.88,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.17
C7750281XPvAibaEXe8E6yzSPpyFOUkenmh5LQzU,0.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.72
DD0479B2XPvAibaEXe8QSVVyFBgPn8/Et18NyNES,6.29,5.28,6.26,5.3,7.04,6.74,6.63,7.11,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.68
A428EC11XPvAibaEXe8QSVVyFBgPnzSBGk50UWj7,8.91,7.68,8.18,8.73,9.01,9.21,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.63
44067D54XPvAibaEXe8QSVVyFBgPnwF4lJry1+gq,9.43,9.23,9.26,8.19,8.22,7.93,6.76,8.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.62
ED778330XPvAibaEXe8QSVVyFBgPn+Y1PVepujPZ,9.02,7.45,8.35,8.31,8.42,8.58,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.28
B0B37571XPvAibaEXe8QSVVyFBgPnzmFYomcR45r,7.66,8.2,7.77,7.56,7.58,8.93,8.38,9.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.12
298C9242XPvAibaEXe8QSVVyFBgPnyyNG08W46Dl,5.81,5.76,6.59,6.55,6.54,7.34,7.42,8.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.14
E466F442XPvAibaEXe8QSVVyFBgPn13dg1kP+Mnf,8.56,8.67,8.78,8.94,8.37,8.32,8.4,8.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.58
C55CAD90XPvAibaEXe8QSVVyFBgPn3VNC2CosqLE,6.78,7.16,7.37,7.61,7,8.5,9.42,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.76
D94ED526XPvAibaEXe93UbSm/ewAMkgBnNJA6WtC,8.71,8.99,7.99,8.22,8.94,8.8,8.75,8.34,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.6
C0FC7861XPvAibaEXe93UbSm/ewAMhsrnF0T+Vqp,6.55,7.01,7.76,8.44,7.35,8.24,7.84,8.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.79
A511E523XPvAibaEXe93UbSm/ewAMtv/EPAEVV3g,6.9,5.9,7.69,7.87,7.18,8.54,9.14,8.75,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.92
4292DACAXPvAibaEXe93UbSm/ewAMuZsXTRkRSPi,7.66,6.37,5.9,7.47,6.6,6.71,8.72,7.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.38
E3268059XPvAibaEXe93UbSm/ewAMiskBSgyd1pf,5.22,5.48,6.41,6.61,4.58,3.33,6.15,6.36,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.87
6EBFCB27XPvAibaEXe93UbSm/ewAMg+U+iVp7yVe,6.48,5.9,5.59,8.77,8.08,8.55,7.2,7.38,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.61
A004B693XPvAibaEXe93UbSm/ewAMgf8e3j+lmmY,0.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.45
23A59DECXPvAibaEXe9CNoSsNIodZ5ZuSoSMqTXC,6.14,6.4,0,4.62,6.76,7.09,7.71,7.83,8.11,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.22
36CA7BAAXPvAibaEXe9CNoSsNIodZ0r60+5WKHX+,4.96,4,3.36,1.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5
A8A01238XPvAibaEXe9CNoSsNIodZ6Va9Cp7esYT,7.1,6.99,7.14,7.33,7.7,8.84,8.8,8.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.66
AAE55C57XPvAibaEXe9CNoSsNIodZ5v8G4xuURvn,7.79,8.27,7.77,8.12,8.22,9.02,8.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.21
BB66CA0FXPvAibaEXe9CNoSsNIodZ/zB8Y6g7n1o,6.94,6.58,6.15,6.2,5.54,6.82,6.64,8.15,7.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.71
3BE63121XPvAibaEXe9CNoSsNIodZ+dTiP58qxeU,6,4.8,0,4.48,6.43,6.34,7.66,7.56,7.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.84
28E797B6XPvAibaEXe9CNoSsNIodZ1rZLISZ6QBz,8.39,6.71,6.23,7.69,6.96,8.19,6,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.34
F596E17DXPvAibaEXe9CNoSsNIodZ0U9fS2YqW2S,7.74,7.54,7.45,7.74,8.14,9.14,9.06,6.87,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.88
FF4A7306XPvAibaEXe9CNoSsNIodZxiUJqcIH2Wu,6.92,6.97,6.54,7.69,6.36,6.94,6.22,4.85,3.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.96
29F018BBXPvAibaEXe82B8VnNvUD6EmCkyCUxedi,8.18,8.35,7.66,7.93,7.41,7.93,8.38,5.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.84
1C96241CXPvAibaEXe82B8VnNvUD6JGyz3j6KG1g,8.18,7.78,7.29,7.73,7.03,8.73,7.83,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.81
D227C418XPvAibaEXe82B8VnNvUD6Px3rX2BTJtY,7.85,7.99,7.8,9.06,9.07,8.96,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.53
40764158XPvAibaEXe82B8VnNvUD6HIoPK66/l6J,5.9,4.8,5.92,7.36,6.62,7.31,8.3,5.27,6.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.97
51983E43XPvAibaEXe82B8VnNvUD6Dbr8F+/xx0j,8.42,8.43,8.54,8.89,8.48,8.06,8.8,9.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.61
DBD7B1A2XPvAibaEXe82B8VnNvUD6DS+TprSP2Ro,8.73,7.29,7.77,8.36,8.03,8.92,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.31
1514F52EXPvAibaEXe82B8VnNvUD6CkE/QMvqqSy,8.47,8.43,8.89,8.84,7.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.48
321249BBXPvAibaEXe82B8VnNvUD6L8yXzQ/52Lj,6.29,6.69,6.9,6.62,7.15,2.11,1.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.28
A2D1D267XPvAibaEXe82B8VnNvUD6NlLvd8YOPZp,8.66,8.73,9,8.49,8.76,9.02,8.95,9.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.82
6BE0D26AXPvAibaEXe+LbSgCtk53mdBJem+66Bwk,5.22,8.04,7.9,7.46,8.11,7.6,8.34,8.59,7.89,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.92
0FA9B1B6XPvAibaEXe+LbSgCtk53mSf0TI7FYT2d,6.27,5.99,5.66,7.27,6.05,6.59,7.26,7.24,9.7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.84
92982A23XPvAibaEXe+LbSgCtk53mbZMGlIXYwaX,7.7,6.9,6.17,6.93,6.71,6.36,4.05,4.09,3.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.4
26BE58DEXPvAibaEXe+LbSgCtk53mfEZsdstPIuY,6.99,6.67,6.98,7.17,6.53,3.87,8.2,3.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.24
876B4468XPvAibaEXe+LbSgCtk53mes10O54H0bY,7.52,7.04,6.43,7.3,4.96,6.72,8.84,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.33
